/* DATA DESCRIPTION:
Citation:	Naafs, Bernhard David A; Hefter, Jens; Acton, Gary D; Haug, Gerald H; Martinez-Garcia, Alfredo; Pancost, Richard D; Stein, Ruediger (2012): Concentrations and accumulation rates of biomarkers and SSTs at IODP Site 306-U1313. PANGAEA, https://doi.org/10.1594/PANGAEA.757946, 
	In supplement to: Naafs, BDA et al. (2012): Strengthening of North American dust sources during the late Pliocene (2.7 Ma). Earth and Planetary Science Letters, 317-318, 8-19, https://doi.org/10.1016/j.epsl.2011.11.026
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: http://www.iodp.org/)
Coverage:	LATITUDE: 41.000000 * LONGITUDE: -32.957300
	DATE/TIME START: 2004-03-28T00:00:00 * DATE/TIME END: 2004-04-02T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.00 m * MAXIMUM DEPTH, sediment/rock: 144.82 m
Event(s):	306-U1313 * LATITUDE: 41.000000 * LONGITUDE: -32.957300 * DATE/TIME START: 2004-03-28T00:00:00 * DATE/TIME END: 2004-04-02T00:00:00 * ELEVATION: -3426.0 m * CAMPAIGN: Exp306 (North Atlantic Climate 2) (URI: https://doi.org/10.2204/iodp.proc.303306.2006) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Composite Core (COMPCORE)
Comment:	DEPTH, sediment (m) is given in mbsf.
Parameter(s):	Sample code/label (Sample label) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
	Sample code/label 2 (Sample label 2) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk) * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001) * COMMENT: A/W referes to work or archive half
	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	Depth, composite [mcd] (Depth comp) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk) * METHOD: Intercore correlation
	Depth, composite, adjusted [amcd] (Depth adj mcd) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk) * METHOD: Intercore correlation
	AGE [ka BP] (Age) * GEOCODE
	Sedimentation rate [cm/ka] (Sed rate) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk) * METHOD: Calculated
	n-Alkane, non reworked [ng/g] (n-Alkane non-rew) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
	Accumulation rate, n-Alkane, non-reworked [ng/cm**2/ka] (Acc rate n-Alkane non-rew) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
	C26-alkan-1-ol [ng/g] (C26-alkan-1-ol) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
	Accumulation rate, C26-alkan-1-ol [ng/cm**2/ka] (Acc rate C26-alkan-1-ol) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
	Sea surface temperature, annual mean [°C] (SST (1-12)) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	21096 data points
*/
Sample label	Sample label 2	Depth [m]	Depth comp [mcd]	Depth adj mcd [amcd]	Age [ka BP]	Sed rate [cm/ka]	n-Alkane non-rew [ng/g]	Acc rate n-Alkane non-rew [ng/cm**2/ka]	C26-alkan-1-ol [ng/g]	Acc rate C26-alkan-1-ol [ng/cm**2/ka]	SST (1-12) [°C]
50020721	306-U1313B-4H-5A,92-94	31.82	36.37	36.37	740.68	4.78	116.98	491.30			16.56
50022543	306-U1313C-5H-1A,78-80	31.98	36.52	36.37	740.68	4.78	231.01	877.74			17.27
50022544	306-U1313C-5H-1A,80-82	32.00	36.54	36.40	741.31	4.78	209.47	726.29			15.44
50020723	306-U1313B-4H-5A,96-98	31.86	36.41	36.41	741.52	4.78	127.54	505.75			16.57
50022545	306-U1313C-5H-1A,82-84	32.02	36.56	36.42	741.73	4.78	208.49	725.47			13.57
50020724	306-U1313B-4H-5A,98-100	31.88	36.43	36.43	741.94	4.78	187.28	727.07			15.88
50020725	306-U1313B-4H-5A,100-102	31.90	36.45	36.45	742.36	4.78	196.01	696.44			13.00
50022546	306-U1313C-5H-1A,84-86	32.04	36.58	36.45	742.36	4.78	197.12	766.91			15.69
50020726	306-U1313B-4H-5A,102-104	31.92	36.47	36.47	742.78	4.78	125.90	469.01			14.46
50022547	306-U1313C-5H-1A,86-88	32.06	36.60	36.48	742.99	4.78	250.16	886.19			14.81
50020727	306-U1313B-4H-5A,104-106	31.94	36.49	36.49	743.19	4.78	220.03	929.08			14.35
50022548	306-U1313C-5H-1A,88-90	32.08	36.62	36.50	743.40	4.78	161.03	562.44			15.04
50020728	306-U1313B-4H-5A,106-108	31.96	36.51	36.51	743.61	4.78	212.33	838.84	96.73	382.15	12.68
50020729	306-U1313B-4H-5A,108-110	31.98	36.53	36.53	744.03	4.78	166.20	571.45			13.84
50022549	306-U1313C-5H-1A,90-92	32.10	36.64	36.53	744.03	4.78	190.36	691.67			13.92
50020730	306-U1313B-4H-5A,110-112	32.00	36.55	36.55	744.45	4.78	212.17	736.96			13.61
50022550	306-U1313C-5H-1A,92-94	32.12	36.66	36.56	744.66	4.78	180.61	647.21			13.83
50020731	306-U1313B-4H-5A,112-114	32.02	36.57	36.57	744.87	4.78	174.81	611.73			14.42
50022551	306-U1313C-5H-1A,94-96	32.14	36.68	36.58	745.08	4.78	196.43	700.34			14.67
50020732	306-U1313B-4H-5A,114-116	32.04	36.59	36.59	745.28	4.78	246.93	880.64			14.91
50020733	306-U1313B-4H-5A,116-118	32.06	36.61	36.61	745.70	4.78	190.14	668.97			14.15
50022552	306-U1313C-5H-1A,96-98	32.16	36.70	36.61	745.70	4.78	209.64	723.96			14.59
50022553	306-U1313C-5H-1A,98-100	32.18	36.72	36.63	746.12	4.78	233.84	766.51			13.83
50020734	306-U1313B-4H-5A,118-120	32.08	36.63	36.63	746.12	4.78	314.44	1089.70			13.87
50022554	306-U1313C-5H-1A,100-102	32.20	36.74	36.65	746.54	4.78	199.01	602.99			12.99
50022555	306-U1313C-5H-1A,102-104	32.22	36.76	36.67	746.96	4.78	207.82	647.20			12.44
50022556	306-U1313C-5H-1A,104-106	32.24	36.78	36.69	747.37	4.78	180.91	576.02			13.27
50022557	306-U1313C-5H-1A,106-108	32.26	36.80	36.72	748.00	4.78	273.43	872.24	209.42	668.03	13.66
50022558	306-U1313C-5H-1A,108-110	32.28	36.82	36.74	748.42	4.78	234.73	743.82			14.04
50022559	306-U1313C-5H-1A,110-112	32.30	36.84	36.76	748.84	4.78	220.90	717.36			14.14
50022560	306-U1313C-5H-1A,112-114	32.32	36.86	36.78	749.26	4.78	124.08	433.70			14.70
50022561	306-U1313C-5H-1A,114-116	32.34	36.88	36.80	749.68	4.78	121.61	412.20			14.83
50022562	306-U1313C-5H-1A,116-118	32.36	36.90	36.82	750.09	4.78	160.33	550.24			14.93
50022563	306-U1313C-5H-1A,118-120	32.38	36.92	36.84	750.51	4.78	150.98	552.37			15.55
50022564	306-U1313C-5H-1A,120-122	32.40	36.94	36.86	750.93	4.78	254.44	926.28			14.91
50022565	306-U1313C-5H-1A,122-124	32.42	36.96	36.88	751.35	4.78	212.40	752.69			15.41
50022566	306-U1313C-5H-1A,124-126	32.44	36.98	36.91	751.98	4.78	169.75	595.13			15.26
50022567	306-U1313C-5H-1A,126-128	32.46	37.00	36.93	752.39	4.78	227.50	812.03			15.96
50022568	306-U1313C-5H-1A,128-130	32.48	37.02	36.95	752.81	4.78	167.66	611.39			15.82
50022569	306-U1313C-5H-1A,130-132	32.50	37.04	36.97	753.23	4.78	255.99	900.95			14.37
50022570	306-U1313C-5H-1A,132-134	32.52	37.06	36.99	753.65	4.78	171.48	608.69			14.83
50022571	306-U1313C-5H-1A,134-136	32.54	37.08	37.01	754.07	4.78	247.63	910.11			14.26
50022572	306-U1313C-5H-1A,136-138	32.56	37.10	37.03	754.49	4.78	156.66	608.44			15.17
50022573	306-U1313C-5H-1A,138-140	32.58	37.12	37.05	754.90	4.78	123.88	497.97			14.38
50022574	306-U1313C-5H-1A,140-142	32.60	37.14	37.07	755.32	4.78	135.43	512.46			14.98
50022575	306-U1313C-5H-1A,142-144	32.62	37.16	37.09	755.74	4.78	60.66	222.21			14.62
50022576	306-U1313C-5H-1A,144-146	32.64	37.18	37.11	756.16	4.78	164.53	655.92	50.92	203.00	16.09
50022577	306-U1313C-5H-1A,146-148	32.66	37.20	37.12	756.37	4.78	68.35	285.62			17.17
50022578	306-U1313C-5H-1A,148-150	32.68	37.22	37.14	756.79	4.78	158.38	647.90			14.40
50022579	306-U1313C-5H-2A,0-2	32.70	37.24	37.15	756.99	4.78	273.09	1093.22			14.93
50022580	306-U1313C-5H-2A,2-4	32.72	37.26	37.17	757.41	4.78	346.51	1356.76			14.80
50022581	306-U1313C-5H-2A,4-6	32.74	37.28	37.19	757.83	4.78	367.95	1408.47			14.86
50022582	306-U1313C-5H-2A,6-8	32.76	37.30	37.20	758.04	4.78	314.22	1194.70			14.80
50022583	306-U1313C-5H-2A,8-10	32.78	37.32	37.22	758.46	4.78	326.08	1248.67			15.03
50022584	306-U1313C-5H-2A,10-12	32.80	37.34	37.24	758.88	4.78	283.50	1085.61			15.76
50022585	306-U1313C-5H-2A,12-14	32.82	37.36	37.25	759.09	4.78	122.16	456.71			14.88
50022586	306-U1313C-5H-2A,14-16	32.84	37.38	37.27	759.50	4.78	270.84	1022.39			15.57
50022587	306-U1313C-5H-2A,16-18	32.86	37.40	37.28	759.71	4.78	259.54	989.16	148.88	567.40	14.97
50022588	306-U1313C-5H-2A,18-20	32.88	37.42	37.30	760.13	4.78	218.38	839.87			16.17
50022589	306-U1313C-5H-2A,20-22	32.90	37.44	37.32	760.55	4.78	200.55	802.83			16.47
50022590	306-U1313C-5H-2A,22-24	32.92	37.46	37.33	760.76	4.78	234.58	961.74			15.93
50022591	306-U1313C-5H-2A,24-26	32.94	37.48	37.35	761.18	4.78	248.97	1052.74			16.04
50022592	306-U1313C-5H-2A,26-28	32.96	37.50	37.38	761.80	4.78	224.71	941.34			16.26
50022593	306-U1313C-5H-2A,28-30	32.98	37.52	37.41	762.43	4.78	146.36	588.10			16.06
50022594	306-U1313C-5H-2A,30-32	33.00	37.54	37.44	763.06	4.78	345.97	1377.91	75.70	301.47	15.30
50022595	306-U1313C-5H-2A,32-34	33.02	37.56	37.47	763.69	4.78	177.30	726.52			16.39
50022596	306-U1313C-5H-2A,34-36	33.04	37.58	37.50	764.31	4.78	168.18	705.40			18.16
50022597	306-U1313C-5H-2A,36-38	33.06	37.60	37.52	764.73	4.78	206.72	867.72			16.59
50022598	306-U1313C-5H-2A,38-40	33.08	37.62	37.55	765.36	4.78					17.76
50022600	306-U1313C-5H-2A,42-44	33.12	37.66	37.61	766.61	4.78	143.16	616.06			16.45
50022601	306-U1313C-5H-2A,44-46	33.14	37.68	37.64	767.24	4.78	141.48	620.07			16.11
50022602	306-U1313C-5H-2A,46-48	33.16	37.70	37.67	767.87	4.78	123.17	540.18			15.21
50022603	306-U1313C-5H-2A,48-50	33.18	37.72	37.70	768.49	4.78	189.71	809.90			15.64
50022604	306-U1313C-5H-2A,50-52	33.20	37.74	37.73	769.12	4.78	137.45	587.64			14.89
50022605	306-U1313C-5H-2A,52-54	33.22	37.76	37.75	769.54	4.78	58.87	244.91			14.45
50022606	306-U1313C-5H-2A,54-56	33.24	37.78	37.78	770.17	4.78	120.92	501.79	25.64	106.39	13.59
50022607	306-U1313C-5H-2A,56-58	33.26	37.80	37.80	770.59	4.78	92.51	390.89			15.01
50022608	306-U1313C-5H-2A,58-60	33.28	37.82	37.82	771.00	4.78	69.80	300.73			15.98
50022609	306-U1313C-5H-2A,60-62	33.30	37.84	37.84	771.42	4.78	61.91	263.74			16.00
50022610	306-U1313C-5H-2A,62-64	33.32	37.86	37.86	771.84	4.78	64.59	282.99			16.96
50022611	306-U1313C-5H-2A,64-66	33.34	37.88	37.88	772.26	4.78	70.80	297.21	12.89	54.12	16.15
50022612	306-U1313C-5H-2A,66-68	33.36	37.90	37.90	772.68	4.78	59.75	247.22			16.64
50022613	306-U1313C-5H-2A,68-70	33.38	37.92	37.92	773.10	4.78	54.34	232.39			15.85
50022614	306-U1313C-5H-2A,70-72	33.40	37.94	37.95	773.74	4.66	65.29	276.45			16.30
50022615	306-U1313C-5H-2A,72-74	33.42	37.96	37.97	774.18	4.48	57.99	229.89			16.68
50022616	306-U1313C-5H-2A,74-76	33.44	37.98	37.99	774.63	4.48	29.34	116.90			16.39
50022617	306-U1313C-5H-2A,76-78	33.46	38.00	38.01	775.08	4.48	41.32	168.84			15.88
50022618	306-U1313C-5H-2A,78-80	33.48	38.02	38.03	775.52	4.48	36.56	152.65			14.61
50022619	306-U1313C-5H-2A,80-82	33.50	38.04	38.05	775.97	4.48	31.23	128.29			16.24
50022620	306-U1313C-5H-2A,82-84	33.52	38.06	38.07	776.42	4.48	28.67	120.04			16.27
50022621	306-U1313C-5H-2A,84-86	33.54	38.08	38.09	776.86	4.48	39.24	161.24			15.84
50022622	306-U1313C-5H-2A,86-88	33.56	38.10	38.12	777.53	4.48	30.70	124.76			16.83
50022623	306-U1313C-5H-2A,88-90	33.58	38.12	38.14	777.98	4.48	67.53	277.40			16.57
50022624	306-U1313C-5H-2A,90-92	33.60	38.14	38.16	778.42	4.48	26.66	111.01			17.21
50022625	306-U1313C-5H-2A,92-94	33.62	38.16	38.18	778.95	3.81	33.40	118.33			15.92
50022626	306-U1313C-5H-2A,94-96	33.64	38.18	38.20	779.51	3.59	31.56	105.05			16.16
50022627	306-U1313C-5H-2A,96-98	33.66	38.20	38.22	780.12	3.24	33.58	102.00			16.32
50022628	306-U1313C-5H-2A,98-100	33.68	38.22	38.24	780.82	2.87	19.62	53.20			16.86
50022629	306-U1313C-5H-2A,100-102	33.70	38.24	38.26	781.52	2.87	34.08	86.96			16.61
50022630	306-U1313C-5H-2A,102-104	33.72	38.26	38.29	782.56	2.87	35.81	92.66	5.16	13.34	16.26
50022631	306-U1313C-5H-2A,104-106	33.74	38.28	38.31	783.26	2.87	65.68	176.09			17.37
50022632	306-U1313C-5H-2A,106-108	33.76	38.30	38.33	783.96	2.87	38.94	104.18			16.67
50022634	306-U1313C-5H-2A,110-112	33.80	38.34	38.37	785.35	2.87	34.99	95.47			16.16
50022635	306-U1313C-5H-2A,112-114	33.82	38.36	38.39	786.05	2.87	36.60	99.60			16.24
50022636	306-U1313C-5H-2A,114-116	33.84	38.38	38.41	786.75	2.87	46.20	122.74			16.49
50022637	306-U1313C-5H-2A,116-118	33.86	38.40	38.43	787.44	2.87	70.97	184.31			15.22
50022638	306-U1313C-5H-2A,118-120	33.88	38.42	38.46	788.49	2.87	106.54	268.76			16.26
50022639	306-U1313C-5H-2A,120-122	33.90	38.44	38.48	789.19	2.87	116.03	270.80			13.76
50022640	306-U1313C-5H-2A,122-124	33.92	38.46	38.50	789.88	2.87	161.37	381.88			13.46
50022641	306-U1313C-5H-2A,124-126	33.94	38.48	38.52	790.58	2.87	93.74	221.32			14.70
50022642	306-U1313C-5H-2A,126-128	33.96	38.50	38.54	791.28	2.87	87.85	200.40			13.63
50022643	306-U1313C-5H-2A,128-130	33.98	38.52	38.56	791.97	2.87	116.09	250.61			12.02
50022644	306-U1313C-5H-2A,130-132	34.00	38.54	38.58	792.64	3.02	135.10	297.45			13.59
50022645	306-U1313C-5H-2A,132-134	34.02	38.56	38.60	793.19	3.59	122.15	305.98			13.69
50022646	306-U1313C-5H-2A,134-136	34.04	38.58	38.63	793.98	3.83	144.38	374.09			10.26
50022647	306-U1313C-5H-2A,136-138	34.06	38.60	38.65	794.42	4.48	136.66	405.84			10.69
50022648	306-U1313C-5H-2A,138-140	34.08	38.62	38.67	794.87	4.48	120.41	357.25			11.19
50022649	306-U1313C-5H-2A,140-142	34.10	38.64	38.69	795.32	4.48	140.11	435.55			10.28
50022650	306-U1313C-5H-2A,142-144	34.12	38.66	38.71	795.76	4.48	208.29	628.60			13.28
50022651	306-U1313C-5H-2A,144-146	34.14	38.68	38.73	796.21	4.48	194.68	590.56	47.89	145.29	13.23
50022652	306-U1313C-5H-2A,146-148	34.16	38.70	38.75	796.65	4.48	263.99	793.33			11.80
50022653	306-U1313C-5H-2A,148-150	34.18	38.72	38.77	797.10	4.48	253.23	739.46			13.88
50022654	306-U1313C-5H-3A,0-2	34.20	38.74	38.79	797.55	4.48	316.85	919.84			13.79
50022655	306-U1313C-5H-3A,2-4	34.22	38.76	38.81	797.99	4.48	208.13	600.69			12.96
50022656	306-U1313C-5H-3A,4-6	34.24	38.78	38.83	798.44	4.48	215.33	617.80			13.44
50022657	306-U1313C-5H-3A,6-8	34.26	38.80	38.85	798.88	4.51	203.11	592.18	149.59	436.14	12.60
50022658	306-U1313C-5H-3A,8-10	34.28	38.82	38.87	799.30	4.78	232.31	728.78			12.93
50022659	306-U1313C-5H-3A,10-12	34.30	38.84	38.89	799.72	4.78	308.62	953.26			11.29
50022660	306-U1313C-5H-3A,12-14	34.32	38.86	38.90	799.93	4.78	219.93	727.17			12.77
50022661	306-U1313C-5H-3A,14-16	34.34	38.88	38.92	800.35	4.78	80.26	270.46			12.18
50022662	306-U1313C-5H-3A,16-18	34.36	38.90	38.94	800.76	4.78	211.74	716.09			13.00
50022663	306-U1313C-5H-3A,18-20	34.38	38.92	38.96	801.18	4.78	206.31	696.79			12.92
50022664	306-U1313C-5H-3A,20-22	34.40	38.94	38.98	801.60	4.78	222.29	738.66			13.41
50022665	306-U1313C-5H-3A,22-24	34.42	38.96	39.00	802.02	4.78	272.75	926.14			12.19
50022666	306-U1313C-5H-3A,24-26	34.44	38.98	39.02	802.44	4.78	199.19	719.71			12.68
50022667	306-U1313C-5H-3A,26-28	34.46	39.00	39.04	802.83	5.07	196.50	765.00			13.34
50022668	306-U1313C-5H-3A,28-30	34.48	39.02	39.06	803.20	5.38	156.43	631.98			13.48
50022669	306-U1313C-5H-3A,30-32	34.50	39.04	39.08	803.57	5.38	185.97	771.56			13.70
50022670	306-U1313C-5H-3A,32-34	34.52	39.06	39.10	803.95	5.38	326.25	1326.91	129.39	526.25	13.22
50022671	306-U1313C-5H-3A,34-36	34.54	39.08	39.12	804.32	5.38	566.62	2264.02			13.79
50022672	306-U1313C-5H-3A,36-38	34.56	39.10	39.14	804.69	5.38	201.48	800.25			12.63
50022673	306-U1313C-5H-3A,38-40	34.58	39.12	39.16	805.06	5.38	217.87	857.56			12.23
50022674	306-U1313C-5H-3A,40-42	34.60	39.14	39.18	805.43	5.38	176.13	656.99			11.94
50022675	306-U1313C-5H-3A,42-44	34.62	39.16	39.20	805.80	5.38	150.14	553.79			12.64
50022676	306-U1313C-5H-3A,44-46	34.64	39.18	39.22	806.18	5.38	153.36	586.76			12.77
50022677	306-U1313C-5H-3A,46-48	34.66	39.20	39.24	806.55	5.38	168.05	675.57			12.17
50022678	306-U1313C-5H-3A,48-50	34.68	39.22	39.26	806.92	5.38	214.04	903.72	84.86	358.31	12.19
50022679	306-U1313C-5H-3A,50-52	34.70	39.24	39.28	807.29	5.38	135.44	604.08			12.73
50022680	306-U1313C-5H-3A,52-54	34.72	39.26	39.30	807.66	5.38	115.01	484.04			13.55
50022681	306-U1313C-5H-3A,54-56	34.74	39.28	39.32	808.04	5.38	124.42	510.12			13.32
50022682	306-U1313C-5H-3A,56-58	34.76	39.30	39.34	808.41	5.38	140.61	590.32			12.90
50022683	306-U1313C-5H-3A,58-60	34.78	39.32	39.36	808.78	5.38	107.37	466.14	39.51	171.51	12.83
50022684	306-U1313C-5H-3A,60-62	34.80	39.34	39.38	809.15	5.38	104.01	430.33			12.74
50022685	306-U1313C-5H-3A,62-64	34.82	39.36	39.40	809.52	5.38	124.99	535.81			12.41
50022686	306-U1313C-5H-3A,64-66	34.84	39.38	39.42	809.90	5.38	113.09	485.59			12.58
50022687	306-U1313C-5H-3A,66-68	34.86	39.40	39.44	810.27	5.38	119.80	521.34			12.94
50022688	306-U1313C-5H-3A,68-70	34.88	39.42	39.46	810.64	5.38	117.47	528.94			12.76
50022689	306-U1313C-5H-3A,70-72	34.90	39.44	39.48	811.01	5.38	109.96	508.59			13.40
50022690	306-U1313C-5H-3A,72-74	34.92	39.46	39.50	811.38	5.38	239.23	1091.81	96.25	439.28	12.40
50022691	306-U1313C-5H-3A,74-76	34.94	39.48	39.52	811.75	5.38	266.22	1208.22			13.38
50022692	306-U1313C-5H-3A,76-78	34.96	39.50	39.54	812.12	5.38	91.91	419.33			13.15
50022693	306-U1313C-5H-3A,78-80	34.98	39.52	39.56	812.50	5.38	96.98	449.52			13.61
50022694	306-U1313C-5H-3A,80-82	35.00	39.54	39.58	812.87	5.38	148.40	703.94			14.15
50022695	306-U1313C-5H-3A,82-84	35.02	39.56	39.60	813.24	5.38	148.32	715.28			13.55
50022696	306-U1313C-5H-3A,84-86	35.04	39.58	39.62	813.61	5.38	122.13	583.97			13.56
50022697	306-U1313C-5H-3A,86-88	35.06	39.60	39.64	813.98	5.38	208.58	967.56			13.51
50022698	306-U1313C-5H-3A,88-90	35.08	39.62	39.66	814.36	5.38	165.79	753.30			13.46
50022699	306-U1313C-5H-3A,90-92	35.10	39.64	39.68	814.73	5.38	163.29	779.66			13.86
50022700	306-U1313C-5H-3A,92-94	35.12	39.66	39.70	815.10	5.38	92.47	453.45			14.17
50022701	306-U1313C-5H-3A,94-96	35.14	39.68	39.72	815.47	5.38	107.41	538.01			15.75
50022702	306-U1313C-5H-3A,96-98	35.16	39.70	39.74	815.84	5.38	233.54	1154.48			13.79
50022703	306-U1313C-5H-3A,98-100	35.18	39.72	39.76	816.21	5.38	185.94	887.22			13.45
50022704	306-U1313C-5H-3A,100-102	35.20	39.74	39.78	816.59	5.38	85.95	410.69			13.49
50022705	306-U1313C-5H-3A,102-104	35.22	39.76	39.80	816.96	5.38	222.56	1016.50	66.53	303.87	13.06
50022706	306-U1313C-5H-3A,104-106	35.24	39.78	39.82	817.33	5.38	192.67	903.26			14.28
50022707	306-U1313C-5H-3A,106-108	35.26	39.80	39.84	817.70	5.38	108.41	524.86			14.65
50022708	306-U1313C-5H-3A,108-110	35.28	39.82	39.86	818.07	5.38	195.13	947.91			14.62
50022709	306-U1313C-5H-3A,110-112	35.30	39.84	39.88	818.44	5.38	166.10	781.82			14.81
50022710	306-U1313C-5H-3A,112-114	35.32	39.86	39.90	818.82	5.38	163.41	786.90			14.93
50022711	306-U1313C-5H-3A,114-116	35.34	39.88	39.92	819.19	5.38	134.40	646.07			15.07
50022712	306-U1313C-5H-3A,116-118	35.36	39.90	39.94	819.56	5.38	100.27	477.23			14.94
50022713	306-U1313C-5H-3A,118-120	35.38	39.92	39.96	819.93	5.38	110.26	526.09			14.78
50022714	306-U1313C-5H-3A,120-122	35.40	39.94	39.98	820.30	5.38	65.58	325.40			15.31
50022715	306-U1313C-5H-3A,122-124	35.42	39.96	40.00	820.71	4.92	55.49	258.32			15.53
50022716	306-U1313C-5H-3A,124-126	35.44	39.98	40.02	821.13	4.78	64.32	287.12			14.97
50022717	306-U1313C-5H-3A,126-128	35.46	40.00	40.04	821.55	4.78	66.65	294.91			15.39
50022718	306-U1313C-5H-3A,128-130	35.48	40.02	40.06	821.96	4.78	49.22	219.19			15.55
50022719	306-U1313C-5H-3A,130-132	35.50	40.04	40.08	822.38	4.78	55.78	247.74			15.46
50022720	306-U1313C-5H-3A,132-134	35.52	40.06	40.10	822.80	4.78	79.80	357.80			15.26
50022721	306-U1313C-5H-3A,134-136	35.54	40.08	40.12	823.22	4.78	71.69	321.25			15.67
50022722	306-U1313C-5H-3A,136-138	35.56	40.10	40.14	823.64	4.78	69.12	304.90			15.85
50022723	306-U1313C-5H-3A,138-140	35.58	40.12	40.16	824.06	4.78	66.54	290.93			15.67
50022724	306-U1313C-5H-3A,140-142	35.60	40.14	40.18	824.49	4.58	62.54	274.32			15.70
50022725	306-U1313C-5H-3A,142-144	35.62	40.16	40.20	824.94	4.48	48.19	200.00			15.74
50022726	306-U1313C-5H-3A,144-146	35.64	40.18	40.22	825.38	4.48	71.44	295.78			15.96
50022727	306-U1313C-5H-3A,146-148	35.66	40.20	40.24	825.83	4.48	83.03	343.31			15.77
50022728	306-U1313C-5H-3A,148-150	35.68	40.22	40.26	826.28	4.48	50.12	205.12			14.70
50022729	306-U1313C-5H-4A,0-2	35.70	40.24	40.28	826.72	4.48	128.32	521.02			15.91
50022730	306-U1313C-5H-4A,2-4	35.72	40.26	40.30	827.17	4.48	73.81	297.34			16.21
50022731	306-U1313C-5H-4A,4-6	35.74	40.28	40.32	827.61	4.48	82.08	328.02			14.95
50022732	306-U1313C-5H-4A,6-8	35.76	40.30	40.34	828.06	4.48	145.22	575.95			14.35
50022733	306-U1313C-5H-4A,8-10	35.78	40.32	40.36	828.51	4.48	94.79	373.92	12.56	49.55	16.89
50022734	306-U1313C-5H-4A,10-12	35.80	40.34	40.38	828.95	4.48	107.19	422.83			13.76
50022735	306-U1313C-5H-4A,12-14	35.82	40.36	40.40	829.43	4.19	82.12	297.68			16.29
50022736	306-U1313C-5H-4A,14-16	35.84	40.38	40.42	829.99	3.59	49.77	161.30			14.50
50022737	306-U1313C-5H-4A,16-18	35.86	40.40	40.44	830.55	3.59	97.69	315.97			15.18
50022738	306-U1313C-5H-4A,18-20	35.88	40.42	40.46	831.10	3.59	88.96	276.41			15.74
50022739	306-U1313C-5H-4A,20-22	35.90	40.44	40.48	831.66	3.59	56.54	182.35			15.67
50022740	306-U1313C-5H-4A,22-24	35.92	40.46	40.50	832.22	3.59	58.04	186.66			15.14
50022741	306-U1313C-5H-4A,24-26	35.94	40.48	40.52	832.78	3.59	89.70	290.72			16.12
50022742	306-U1313C-5H-4A,26-28	35.96	40.50	40.54	833.33	3.58	93.91	307.25			15.80
50022743	306-U1313C-5H-4A,28-30	35.98	40.52	40.56	833.89	3.58	53.75	176.76			17.93
50022744	306-U1313C-5H-4A,30-32	36.00	40.54	40.58	834.45	3.58	108.20	354.46			16.02
50022745	306-U1313C-5H-4A,32-34	36.02	40.56	40.60	835.01	3.59	72.09	237.25			15.37
50022746	306-U1313C-5H-4A,34-36	36.04	40.58	40.62	835.56	3.59	116.23	377.26			16.58
50022747	306-U1313C-5H-4A,36-38	36.06	40.60	40.64	836.12	3.59	51.08	164.75			17.13
50022748	306-U1313C-5H-4A,38-40	36.08	40.62	40.66	836.68	3.59	45.11	146.05			16.72
50022749	306-U1313C-5H-4A,40-42	36.10	40.64	40.68	837.24	3.59	34.06	109.66			16.55
50022750	306-U1313C-5H-4A,42-44	36.12	40.66	40.71	838.07	3.59	47.65	149.30			17.85
50022751	306-U1313C-5H-4A,44-46	36.14	40.68	40.73	838.63	3.59	141.60	446.90			17.21
50022752	306-U1313C-5H-4A,46-48	36.16	40.70	40.75	839.19	3.59	75.60	238.42			16.10
50022753	306-U1313C-5H-4A,48-50	36.18	40.72	40.77	839.75	3.58	189.12	589.66			16.23
50022754	306-U1313C-5H-4A,50-52	36.20	40.74	40.79	840.30	3.58	60.53	192.41	20.89	66.40	15.86
50022755	306-U1313C-5H-4A,52-54	36.22	40.76	40.81	840.86	3.58	195.37	624.96			15.45
50022756	306-U1313C-5H-4A,54-56	36.24	40.78	40.83	841.42	3.59	58.78	193.59			16.91
